Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#144 Meyer, Andre
Division Production Optics Class U Category S. Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
7 2.5407 150 27 5 0 0 0 0 0 59.04
8 3.3955 51 10 0 1 0 0 0 0 15.02
9 1.3359 106 20 2 0 0 2 0 1 56.89
10 2.4178 105 21 0 0 0 2 0 1 31.02
11 4.5508 39 7 1 1 0 0 0 0 8.57
12 3.1956 58 11 1 0 0 0 0 0 18.15
13 2.6994 141 24 7 0 0 1 0 0 48.53
14 3.5894 114 21 3 0 0 0 0 0 31.76
15 1.0748 98 17 4 1 0 2 0 0 72.57
16 3.3938 58 11 1 0 0 0 0 0 17.09
17 3.4622 60 12 0 0 0 0 0 0 17.33
18 2.6934 55 11 0 0 0 0 0 0 20.42
19 3.2168 46 8 2 0 0 0 0 0 14.30
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 57 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#547 Backstrom, Mats
Division Standard Class U Category Senior Factor Major Squad 22
Stage Factor PTS A C D Ded. MI NS PE Time
19 6.8116 47 7 3 0 0 0 0 0 6.90
#548 Backstrom, Wille
Division Standard Class U Category Junior Factor Minor Squad 27
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.0094 96 14 8 2 0 0 0 0 31.90
2 5.1619 51 9 2 0 0 0 0 0 9.88
3 2.7862 92 14 6 4 0 0 0 0 33.02
4 3.5286 120 20 5 5 0 2 0 0 28.34
5 2.4455 85 11 10 0 0 3 0 0 22.49
6 4.4994 40 4 6 2 0 0 0 0 8.89
7 2.8867 111 17 7 5 0 3 0 0 28.06
8 2.9160 51 9 2 0 0 0 0 0 17.49
9 2.2146 78 10 8 4 0 2 0 0 26.19
10 3.1778 106 20 2 0 0 1 0 0 30.21
11 3.0842 36 6 2 0 0 1 0 0 8.43
12 1.9872 48 9 1 0 0 2 0 0 14.09
13 4.0369 140 25 4 3 0 0 0 0 34.68
14 3.4529 98 14 9 1 0 0 2 0 22.59
15 2.3939 86 13 6 3 0 2 0 0 27.57
16 3.7910 47 7 4 0 0 1 0 0 9.76
17 3.8770 58 11 1 0 0 0 0 0 14.96
18 3.4605 49 8 3 0 0 0 0 0 14.16
19 3.8191 38 5 4 1 0 0 0 0 9.95
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 58 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#552 Kraling, Andreas
Division Production Class U Category Senior Factor Minor Squad 27
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.3092 96 13 10 1 0 0 0 0 29.01
2 4.3664 51 9 2 0 0 0 0 0 11.68
3 0.0000 10 2 0 0 0 22 0 15 5.62
4 2.7991 135 25 3 1 0 3 0 1 33.94
5 3.0089 88 14 5 3 0 2 0 0 22.60
6 5.6056 56 11 0 1 0 0 0 0 9.99
7 4.6203 146 26 5 1 0 0 0 0 31.60
8 3.4623 51 9 2 0 0 0 0 0 14.73
9 2.2281 97 17 4 0 0 3 0 0 30.07
10 2.9760 108 21 1 0 0 1 0 0 32.93
11 2.4719 32 4 4 0 0 1 0 0 8.90
12 1.7749 51 9 2 0 0 1 0 0 23.10
13 3.0100 129 23 4 2 0 3 0 0 32.89
14 4.9166 112 21 2 1 0 0 0 0 22.78
15 1.6440 90 15 4 3 0 2 0 0 42.58
16 5.4565 52 8 4 0 0 0 0 0 9.53
17 5.0523 58 11 1 0 0 0 0 0 11.48
18 2.3970 42 7 2 1 0 1 0 0 13.35
19 5.3613 46 9 0 1 0 0 0 0 8.58
#553 Hassenkamm, Nicolai
Division Standard Class U Category Factor Minor Squad 41
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.1351 116 22 2 0 0 0 0 0 37.00
2 4.0264 55 11 0 0 0 0 0 0 13.66
3 4.2600 116 22 2 0 0 0 0 0 27.23
4 3.6715 152 29 2 1 0 0 0 0 41.40
5 3.6472 110 20 3 1 0 0 0 0 30.16
6 3.9688 56 10 2 0 0 0 0 0 14.11
7 3.3362 154 29 3 0 0 0 0 0 46.16
8 3.6612 51 9 2 0 0 0 0 0 13.93
9 2.9883 110 19 5 0 0 0 0 0 36.81
10 2.8161 106 20 2 0 0 1 0 0 34.09
11 2.8951 34 5 3 0 0 1 0 0 8.29
12 2.5746 54 9 3 0 0 0 1 0 17.09
13 3.6761 143 26 4 1 0 1 0 0 36.18
14 4.0568 100 15 8 1 0 0 0 0 24.65
15 1.4941 96 18 2 0 0 4 0 0 37.48
16 3.6851 54 9 3 0 0 0 1 0 11.94
17 3.8610 60 12 0 0 0 0 0 0 15.54
18 2.8841 55 11 0 0 0 0 0 0 19.07
19 4.4920 42 7 2 1 0 0 0 0 9.35
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 59 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#554 Denwood, Daniel
Division Open Class U Category Senior Factor Major Squad 33
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.6762 109 17 6 0 0 1 0 0 26.93
2 5.3224 52 10 0 1 0 0 0 0 9.77
3 3.1998 107 15 7 2 0 0 0 0 33.44
4 5.1567 153 25 7 0 0 0 0 0 29.67
5 3.4763 97 13 7 2 0 2 0 0 22.15
6 7.0064 55 7 5 0 0 0 0 0 7.85
7 5.6575 148 20 12 0 0 0 0 0 26.16
8 4.2623 52 10 0 1 0 0 0 0 12.20
9 3.0565 95 11 8 4 0 1 0 0 27.81
10 5.2813 102 16 5 1 0 1 0 0 17.42
11 6.2500 43 7 2 0 0 0 0 0 6.88
12 4.3375 55 7 5 0 0 0 0 0 12.68
13 4.9419 146 24 6 1 0 1 0 0 27.52
14 2.1910 89 11 8 1 0 4 0 1 17.80
15 2.1542 94 12 8 1 0 3 0 0 29.71
16 3.5047 55 7 5 0 0 0 1 0 12.84
17 5.7344 57 9 3 0 0 0 0 0 9.94
18 3.4829 52 8 3 0 0 0 0 0 14.93
19 5.2304 42 4 5 1 0 0 0 0 8.03
#555 Andersson, Ronja
Division Optics Class U Category Junior Factor Minor Squad 27
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.1544 100 17 5 0 0 2 0 2 27.85
2 0.4338 38 7 1 0 0 3 0 0 18.44
3 0.0000 57 7 7 1 0 9 0 0 37.91
4 4.4158 144 24 8 0 0 0 0 0 32.61
5 1.2508 87 14 5 2 0 3 1 1 29.58
6 4.8677 46 7 3 2 0 0 0 0 9.45
7 3.8068 134 21 9 2 0 0 0 0 35.20
8 4.3205 55 11 0 0 0 0 0 0 12.73
9 2.6266 93 13 9 1 0 1 0 0 31.60
10 3.5352 115 23 0 0 0 0 0 0 32.53
11 1.4047 36 6 2 0 0 1 1 0 11.39
12 3.5669 56 10 2 0 0 0 0 0 15.70
13 4.2981 154 29 3 0 0 0 0 0 35.83
14 4.9113 108 19 4 1 0 0 0 0 21.99
15 2.2262 97 15 7 1 0 1 0 0 39.08
16 5.4528 56 10 2 0 0 0 0 0 10.27
17 4.9221 60 12 0 0 0 0 0 0 12.19
18 3.7145 51 9 2 0 0 0 0 0 13.73
19 4.2553 42 6 4 0 0 0 0 0 9.87
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 60 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#556 Pickering, Christopher
Division Standard Class U Category Factor Minor Squad 34
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.1407 100 17 5 0 0 2 0 1 32.70
2 3.0803 48 9 1 0 0 1 1 0 9.09
3 3.3372 114 21 3 0 0 0 0 0 34.16
4 3.3773 143 26 4 1 0 1 0 0 39.38
5 3.8974 114 21 3 0 0 0 0 0 29.25
6 3.9688 56 10 2 0 0 0 0 0 14.11
7 3.9685 146 25 7 0 0 0 0 0 36.79
8 3.9200 49 9 1 1 0 0 0 0 12.50
9 2.9016 112 20 4 0 0 0 0 0 38.60
10 3.8689 111 21 2 0 0 0 0 0 28.69
11 4.9396 45 9 0 0 0 0 0 0 9.11
12 2.8914 51 9 2 0 0 1 0 0 14.18
13 3.0913 139 24 6 1 0 1 0 0 41.73
14 3.4329 100 14 10 0 0 0 0 0 29.13
15 1.5612 85 11 10 0 0 3 0 0 35.23
16 4.7855 58 11 1 0 0 0 0 0 12.12
17 4.7657 60 12 0 0 0 0 0 0 12.59
18 2.4482 39 4 6 1 0 0 0 0 15.93
19 4.6904 50 10 0 0 0 0 0 0 10.66
#559 Lerfeldt, Henrik
Division Open Class U Category S. Senior Factor Major Squad 41
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.1334 114 18 6 0 0 0 0 0 27.58
2 5.9524 55 11 0 0 0 0 0 0 9.24
3 4.6977 115 19 5 0 0 0 0 0 24.48
4 5.5139 147 23 7 2 0 0 0 0 26.66
5 4.4556 115 19 5 0 0 0 0 0 25.81
6 5.9487 58 10 2 0 0 0 0 0 9.75
7 4.6015 153 25 7 0 0 0 0 0 33.25
8 5.1985 55 11 0 0 0 0 0 0 10.58
9 2.5548 102 14 7 2 0 1 0 0 36.01
10 5.7751 114 22 1 0 0 0 0 0 19.74
11 1.9262 32 6 0 1 0 2 0 0 6.23
12 4.0138 58 10 2 0 0 0 0 0 14.45
13 4.1642 148 26 4 1 0 1 0 0 33.14
14 4.9911 112 16 8 0 0 0 0 0 22.44
15 1.4770 91 13 6 1 0 4 0 0 34.53
16 6.0538 54 8 3 1 0 0 0 0 8.92
17 4.8193 60 12 0 0 0 0 0 0 12.45
18 2.7837 52 8 3 0 0 0 0 0 18.68
19 5.1903 45 7 2 1 0 0 0 0 8.67
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 61 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#564 Iversen, Tim
Division Optics Class U Category Factor Minor Squad 20
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.8820 100 16 6 2 0 0 0 0 25.76
2 7.1014 49 8 3 0 0 0 0 0 6.90
3 3.4069 108 21 1 0 0 2 0 0 25.83
4 5.2133 154 29 3 0 0 0 0 0 29.54
5 4.8292 106 17 7 0 0 0 0 0 21.95
6 5.3179 46 6 5 1 0 0 0 0 8.65
7 4.3253 135 23 6 2 0 1 0 0 28.90
8 3.8596 55 11 0 0 0 0 0 0 14.25
9 2.6437 106 18 5 1 0 0 0 2 32.53
10 4.6983 109 20 3 0 0 0 0 0 23.20
11 6.1080 43 8 1 0 0 0 0 0 7.04
12 3.8690 52 8 4 0 0 0 0 0 13.44
13 5.6895 144 24 8 0 0 0 0 0 25.31
14 5.3699 98 14 9 1 0 0 0 0 18.25
15 0.7418 70 8 9 3 0 4 0 1 26.96
16 4.9751 50 7 5 0 0 0 0 0 10.05
17 5.5914 52 8 4 0 0 0 0 0 9.30
18 3.2082 53 10 1 0 0 0 0 0 16.52
19 4.6030 40 5 5 0 0 0 0 0 8.69
#565 Jørgensen, Camilla
Division Production Optics Class U Category Lady Factor Minor Squad 20
Stage Factor PTS A C D Ded. MI NS PE Time
1 0.9103 94 14 8 0 0 2 1 0 70.31
2 1.4775 47 7 4 0 0 0 0 0 31.81
3 1.2557 102 18 4 0 0 2 1 0 57.34
4 1.3488 125 21 6 2 0 3 0 1 63.02
5 1.3363 90 15 4 3 0 2 0 1 44.90
6 2.0769 54 9 3 0 0 0 0 0 26.00
7 1.2553 120 15 15 0 0 2 0 0 79.66
8 0.4585 41 7 2 0 0 2 0 0 45.80
9 1.1606 97 14 9 0 0 1 0 0 74.96
10 1.9928 105 18 5 0 0 0 0 0 52.69
11 0.0000 25 5 0 0 0 4 0 0 12.56
12 1.3628 47 8 2 1 0 1 0 0 27.15
13 1.3386 111 17 7 5 0 3 0 0 60.51
14 1.3955 87 12 8 3 0 1 1 0 48.01
15 0.5887 76 10 8 2 0 4 0 0 61.15
16 1.8990 51 9 2 0 0 1 0 0 21.59
17 1.0281 56 10 2 0 0 0 0 0 54.47
18 1.2048 46 8 2 0 0 1 0 1 21.58
19 1.6290 44 8 1 1 0 0 0 0 27.01
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 62 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#566 Jakobsen, Dennis Kastrup
Division Production Optics Class U Category Senior Factor Minor Squad 41
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.4924 96 15 7 0 0 2 0 1 26.48
2 4.1586 53 10 1 0 0 0 1 0 10.34
3 4.3534 102 16 7 1 0 0 0 0 23.43
4 5.8847 148 26 6 0 0 0 0 0 25.15
5 4.7029 110 20 3 1 0 0 0 0 23.39
6 5.1518 56 10 2 0 0 0 0 0 10.87
7 4.6203 146 25 7 0 0 0 0 0 31.60
8 3.5762 53 10 1 0 0 0 0 0 14.82
9 3.4232 94 12 11 1 0 0 0 0 27.46
10 4.5045 105 18 5 0 0 0 0 0 23.31
11 2.5221 40 8 0 0 0 1 1 0 7.93
12 2.9635 49 8 3 0 0 1 0 0 13.16
13 4.5711 146 26 5 1 0 0 0 0 31.94
14 3.7422 108 18 6 0 0 0 0 0 28.86
15 1.5267 86 15 3 2 0 4 0 0 30.13
16 6.6593 60 12 0 0 0 0 0 0 9.01
17 5.4581 56 11 0 1 0 0 0 0 10.26
18 3.1394 41 4 7 0 0 0 0 0 13.06
19 4.1110 40 6 3 1 0 0 0 0 9.73
#569 Rinaldo, Mathias
Division Optics Class U Category Senior Factor Major Squad 27
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.0667 110 18 5 0 0 1 0 0 24.59
2 6.8323 55 11 0 0 0 0 0 0 8.05
3 4.6184 118 22 2 0 0 0 0 0 25.55
4 6.2806 154 26 6 0 0 0 0 0 24.52
5 3.5569 114 18 6 0 0 0 0 0 32.05
6 5.7617 59 11 1 0 0 0 0 0 10.24
7 4.1560 146 20 11 1 0 0 0 0 35.13
8 5.6522 52 8 3 0 0 0 0 0 9.20
9 4.0809 111 17 6 1 0 0 0 0 27.20
10 4.9202 111 19 4 0 0 0 0 0 22.56
11 7.5044 43 7 2 0 0 0 0 0 5.73
12 4.3633 59 11 1 0 0 0 1 0 11.23
13 5.1707 156 30 1 1 0 0 0 0 30.17
14 4.4106 107 15 7 2 0 0 0 0 24.26
15 3.0116 112 18 5 1 0 0 0 0 37.19
16 7.1170 59 11 1 0 0 0 0 0 8.29
17 5.6585 58 10 2 0 0 0 0 0 10.25
18 3.5124 51 7 4 0 0 0 0 0 14.52
19 6.0075 48 8 2 0 0 0 0 0 7.99
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 63 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#570 Rinaldo, Hugo
Division Production Optics Class U Category Factor Major Squad 27
Stage Factor PTS A C D Ded. MI NS PE Time
1 5.9072 112 16 8 0 0 0 0 0 18.96
2 8.6207 55 11 0 0 0 0 0 0 6.38
3 5.5264 116 22 1 1 0 0 0 0 20.99
4 7.3786 152 26 5 1 0 0 0 0 20.60
5 5.3753 111 19 3 2 0 0 0 0 20.65
6 7.9622 59 11 1 0 0 0 0 0 7.41
7 6.1404 154 26 6 0 0 0 0 0 25.08
8 6.9708 55 11 0 0 0 0 0 0 7.89
9 5.0000 112 16 8 0 0 0 0 0 22.40
10 7.2078 111 21 1 1 0 0 0 0 15.40
11 7.9922 41 5 4 0 0 0 0 0 5.13
12 5.5291 58 10 2 0 0 0 0 0 10.49
13 6.0522 153 27 4 1 0 0 0 0 25.28
14 7.1209 116 20 4 0 0 0 0 0 16.29
15 3.2780 103 15 7 0 0 2 0 0 25.32
16 6.9212 58 10 2 0 0 0 0 0 8.38
17 7.0560 58 10 2 0 0 0 0 0 8.22
18 4.1736 50 8 2 1 0 0 0 0 11.98
19 8.0460 49 9 1 0 0 0 0 0 6.09
#574 Simony, Christian
Division Optics Class U Category Senior Factor Minor Squad 38
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.1222 104 17 6 1 0 0 0 0 33.31
2 4.0089 46 8 2 0 0 1 0 0 8.98
3 2.4808 116 22 2 0 0 0 0 0 46.76
4 3.6471 148 26 6 0 0 0 0 0 40.58
5 3.8474 116 22 2 0 0 0 0 0 30.15
6 4.2918 50 7 5 0 0 0 0 0 11.65
7 3.5136 152 28 4 0 0 0 0 0 43.26
8 1.3478 46 8 2 0 0 1 0 0 26.71
9 2.8902 110 19 5 0 0 0 0 0 38.06
10 5.0988 111 21 2 0 0 0 0 0 21.77
11 4.3817 45 9 0 0 0 0 0 0 10.27
12 3.5248 54 9 3 0 0 0 0 0 15.32
13 4.0589 146 25 7 0 0 0 0 0 35.97
14 3.3083 110 20 3 1 0 0 0 0 33.25
15 1.3455 90 15 5 0 0 4 0 0 37.16
16 4.9209 56 10 2 0 0 0 0 0 11.38
17 4.3177 56 10 2 0 0 0 0 0 12.97
18 1.8843 53 10 1 0 0 0 1 0 22.82
19 4.4715 44 7 3 0 0 0 0 0 9.84
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 64 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#575 Jarlson, Rasmus
Division Optics Class U Category Factor Minor Squad 33
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.4448 102 16 7 1 0 0 0 0 29.61
2 5.0000 45 7 3 1 0 0 0 0 9.00
3 4.9630 114 22 1 1 0 0 0 0 22.97
4 4.4023 144 25 6 1 0 0 0 0 32.71
5 4.3981 114 21 3 0 0 0 0 0 25.92
6 4.4209 50 8 3 1 0 0 0 0 11.31
7 4.1208 146 25 7 0 0 0 0 0 35.43
8 4.9074 53 10 1 0 0 0 0 0 10.80
9 3.6339 106 17 7 0 0 0 0 0 29.17
10 3.1503 113 22 1 0 0 0 0 0 35.87
11 0.0000 29 4 3 0 0 2 0 1 8.59
12 3.9753 55 11 0 0 0 1 0 0 11.32
13 4.5346 143 26 4 1 0 1 0 0 29.33
14 4.4331 104 18 4 2 0 0 0 0 23.46
15 3.1974 98 15 7 2 0 0 0 0 30.65
16 5.6485 54 9 3 0 0 0 0 0 9.56
17 4.7178 56 10 2 0 0 0 0 0 11.87
18 3.1716 51 9 2 0 0 0 0 0 16.08
19 4.3265 44 7 3 0 0 0 0 0 10.17
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 65 of 65
